Country,Code,ContinentCode,Year,Economic growth: the rate of change of real GDP,GDP per capita current U.S. dollars,Inflation: percent change in the Consumer Price Index,Unemployment rate,Net portfolio equity inflows,Economic growth forecast,Inflation forecast,Unemployment rate forecast,Political stability index (-2.5 weak; 2.5 strong),Interest rates on bank credit to the private sector
USA,USA,NA,2008,-0.14,48382.56,3.8,5.78,126805,0.12,0.7,5.8,0.59,5.09
USA,USA,NA,2009,-2.54,47099.98,-0.4,9.25,219303,-2.6,1.92,9.28,0.45,3.25
USA,USA,NA,2010,2.56,48466.66,1.6,9.63,178952.99,2.71,1.69,9.61,0.44,3.25
USA,USA,NA,2011,1.55,49882.56,3.2,8.95,123357,1.55,3.09,8.93,0.59,3.25
USA,USA,NA,2012,2.25,51602.93,2.1,8.07,239066.01,2.28,1.82,8.08,0.63,3.25
USA,USA,NA,2013,1.84,53106.54,1.5,7.38,-62642,1.84,1.32,7.36,0.64,3.25
USA,USA,NA,2014,2.53,55049.99,1.6,6.17,154312,2.29,0.52,6.16,0.58,3.25
USA,USA,NA,2015,3.08,56863.37,0.1,5.28,-187306,2.71,0.7,5.28,0.68,3.26
USA,USA,NA,2016,1.71,58021.4,1.3,4.87,-139700.99,1.67,2.18,4.88,0.4,3.51
USA,USA,NA,2017,2.33,60109.66,2.1,4.36,149634.01,2.26,2.17,4.35,0.29,4.1
USA,USA,NA,2018,3,63064.42,2.4,3.9,156916.01,2.92,1.91,3.89,0.42,4.9
USA,USA,NA,2019,2.16,65279.53,1.8,3.67,-244072.01,2.29,2.06,3.68,0.13,5.28
USA,USA,NA,2020,-3.49,63543.58,1.2,8.31,725723.97,-3.41,1.55,8.11,-0.02,3.54
